Hotel Name,Date,Person's Name,Review
JW Marriott Hotel Pune,Mar-21,Balkrishna Shroff,"The check-in was very quick and smooth, got a room on 19th floor with a beautiful city view. The room was quite spacious and so was bathroom. It was a pleasant surprise to find that spa and pool were functional though with appointment. Due to pandemic only one restaurant 'Spice Kitchen' and Pune Baking Co. were open. The overall service was of a very high standard. The staff was very courteous and friendly. Special thanks to Andrila n Prajot at reception, Kriti at Pune Baking, Priyanka n Deepak at lobby bar, Sandeep n Bhagat Singh at Spice Kitchen. No doubt one of the best hotel of Pune..."
JW Marriott Hotel Pune,Apr-21,Chintan K ,"The rooms were clean, very comfortable, and the staff was amazing... Food Options were limited due to Covid-19 Situation but It was Good The Way you are helping to customers it was really Appreciated ..."
JW Marriott Hotel Pune,Mar-21,CRK ,"JW Marriott never disappoints - customer service, safety, food, staff, rooms, facilities and ambience. I have stayed here many times over the years and have gotten nothing but personalized attention during all my visits and at any time of the day. My last trip was during COVID and I was concerned about the safety protocols. The hotel talked me through their safety measures and everything matched their claims. During my week long stay, the gym was a good distraction - the instructors made the space safe with protocols and cleaning. The food is always excellent and the wait and chef staff was delightful. This is my #1 go to hotel in Pune and I don't see that changing any time soon."
The Westin Mumbai Garden City,Jun-21,Sheetal,"We had been to westin Mumbai, all COVID measures were taken care of. We got an excellent service from Swastik Shetty & Hitiksha. They were very polite & attentive. Thank you so much.We had great time.I will visit again"
The Westin Mumbai Garden City,Jun-21,Rahul ,"Absolutely outstanding hotel perfectly located. Helpful, friendly front desk team who go above and beyond to make sure you have the best time.It was a wonderful experience and also to mention that the covid protocols very thoroughly followed at the hotel"
The Westin Mumbai Garden City,Jun-21,Hemant Bharat,"Once again The Westin,Mumbai did a exceptional job.It was a super smooth stay.I came to the hotel after almost a year,but the services were still the same,the hotel was following all the covid norms properly.Everything in the room was sanitized and kept ready to use.The food was fantastic,all the hygiene standards were followed.I would like to thank Ms. Saloni for helping me with the printouts whenever needed.Looking forward to visit The Westin,Mumbai soon."
The Westin Mumbai Garden City,May-21,Vijay Rattanm,"Westin has always been my first choice of hotel. They have done commendable work in taking care of all aspects of Hygiene and Precautions during these times when everyone wants to have a secure stay. Rooms are luxurious, spacious, and very well maintained. Food was heavenly and always served hot and absolutely fresh. I appreciate all the staff team of the hotel for their service in making my stay comfortable, luxurious, peaceful and safe. It is an amazing hotel with well equipped gym. The poolside is lovely and relaxing. Special thanks to Mr. Abu who personally took care of all my needs during the stay. Just cant wait to come back again."
The Westin Mumbai Garden City,Oct-20,Vivian Dsouza,"I was visiting a 5 star first time in the covid days and it was not surprising to me how well organised and prepared the hotel and the staff were considering the brand, the hygiene and sanitation was given good importance"
Hyatt Regency Gurgaon,Jun-21,Pankaj K,"Great staff! I'd thank Mr. Radhe from the kitchen and Mr. Vishal manager from the front desk. All precautions to ensure COVID norms were in place and we hardly interacted with the staff. The rooms are opulent, comfortable, and an ergonomic delight"
Hyatt Regency Gurgaon,Jun-21,Pardip Singh,"I was there in the property for 3 nights, all covid 19 guidlines were taken care off. Food was good Mr. AJIT RANA was always present to keep the good quality service. Peacefull property on the highway. The view from room was good. Will definately be there again"
Hyatt Regency Gurgaon,Mar-21,Paban Jena,In my own experience Hyatt sector 82 property is one of the best to host events of all kind . I had a family event where the hotel has ensured to deliver best possible experience to every single guest of mine while ensuring all covid protocol.. The food was awesome and the staff out there was so courteous that made me to write this review ... Thanks Hyatt for leaving with us such good experience... Special mentioned to Mayank and his team member who ensured every single minutest aspects in event have been taken care off ...
Hyatt Regency Gurgaon,Mar-21,Rajiv Singh ,We had an excellent time at the Restaurant. The buffet spread was simply superb and the hospitality of the staff and chef was top class. The hotel maintains a very good standard when it comes to Covid protocols also. I highly recommend to everyone. I will surely visit again
Hyatt Regency Gurgaon,Mar-21,Siddharth Raghuwa,Loved the place. Mr.Ajeet Rana took good care of us. All of our requests were met promptly. The staff also took COVID 19 precautions very seriously. The staycation offer provides incredible value for money. I would love to stay at the property again.
The Oberoi Udaivilas,Mar-21,Manav Gandhi,"Its Never Too Late...to Share your memories. I stayed from 10th March,2021-12th March,2021. ( We were staying in a Room which had a Semi Private Pool)- Best Room and very well maintained and the rooms are so spacious. Keeping in mind about the Current Situation of Covid-19, The hotel was following all the safety measures."
The Oberoi Udaivilas,Mar-21,Reema Jain,Outstanding property and hospitality Stayed with my mom in premium room with semi private pool.Hotel kept in mind every requirement as mentioned 1. early check in
The Oberoi Udaivilas,Aug-20,Aankitin,"After having been confined for a better part of six months, decided to take the plunge and selected Oberoi Udaivilas for a staycation of sorts in mid-August. In retrospect, I reckon it was a wise decision considering how impeccably well-adjusted the staff and the provisions were towards the pandemic. Safety was definitely taken seriously here for the entire duration of our stay. As is well known, the property certainly lives up to the built hype. It is a lush, sprawling and magnificent once you enter the resort. The reception area is well equipped and provides a hassle free check in. The rooms are spacious and offer conventional 'palace turned hotel' type room ambience, typical of spacious washrooms and high ceilings."
The Oberoi Udaivilas,Nov-20,Mr. K.S. Patel,"The safest place to have vacation during the current PANDEMIC time with total care, comfort and warmth extended by Team Oberoi Udaivilas: lead by the General Manager of the property."
The Hilton Jaipur,Jun-21,Paras M,"Wonderful stay enjoyed so much Amazing experience and breakfast was really good Affordable prices, good service by all the staff members. Was greeted at the door every time you come and go. Good hygiene during COVID times. Overall Superb stay"
The Hilton Jaipur,Mar-21,Prakhar M,"Among the pandemic & corona fear, I decided to choose Hilton Jaipur as my choice of stay based on excellent reviews across multiple platforms and past experience of friends but sadly it wasn't upto the mark.The place offers almost everything that I wanted starting from cleanliness, strict following of Covid protocols, delicious food and good housekeeping but that premium hospitality is missing which is expected in this segment of hotels.Most of this is attributed to Corona (as staff suggested) but I firmly believe it's sheer mismanagement which they are conveniently trying to cover up in name of Corona."
The Hilton Jaipur,Jun-21,Radhika ,"Lovely ambiance...... yummy breakfast, helpful staff.... gym is what I always do.... the hotel is safe with all covid protocols and they gave advice for the best sightseeing places around the hotel.... thanks again, would love to come here again. Bye"
The Hilton Jaipur,Jun-21,Captain RB,"We had organised a small family function spreading over 3N/ 4 D, Sales manager Mr. Sachin Katoch and his team made all out efforts in these difficult times of Covid restrictions to ensure our stay was memorable. Entire staff from front desk to room service and house keeping was very cooperative and ensure all covid protocol followed at the hotel."
The Hilton Jaipur,May-21,Dheeraj Gurjar,"We stayed here for 2 nights and it was a wonderful stay at Hilton jaipur, beautiful property and extraordinary staff. The staff in the hotel is extremely helpful and cooperative. We highly recommend this property During this pandemic time they are maintaining it very nicely and in a proper way. Thanks hilton jaipur Special mention to Rahul, Nitish and Harsh"
,,,
"Jehan Numa Palace Hotel, Bhopal",Jun-21,,Our stay at Jehan Numa Palace was very comfortable. The serene environment is relaxing and the food is excellent! The staff is courteous and very helpful. Care is taken in terms of sanitization and safety of all. A very clean and green hotel. A great place to stay in Bhopal!
"Jehan Numa Palace Hotel, Bhopal",Apr-21,,I organised a stay for my brother and his wife and was given great help by Abdul Hameed throughout the process. Very smooth and seamless booking and they loved their stay! The hotel also took all necessary precautions to protect against Covid- 19 and ensured a safe stay.
"Jehan Numa Palace Hotel, Bhopal",Feb-21,Medha,"I had a stay for 1 day at this beautiful heritage hotel, and I must say that this hotel assures to give you an absolutely fantastic experience! Right from the reception they have wonderful and polite staff, neat and clean property, the covid protocol was followed perfectly and everything was properly sanitised from time to time."
"Jehan Numa Palace Hotel, Bhopal",Jan-21,GeenDeen,"We visited Jehan Numa Palace for 2 nights 3 days in the month of Jan 2021, the hotel has put all Covid precautions in place and all their employees knew the pandemic seriousness. I must put on record that we were extremely delighted with the courtesy and service shown by the hotel staff at all the places from Front Desk to Restaurants to the chauffer of our car we hired from the hotel for local sightseeing .... that too during the Covid times."
"Jehan Numa Palace Hotel, Bhopal",Jan-21,Geetika,"The Jehan Numa Palace Hotel personifies excellence in every sphere. The location is fantastic and everything from checking in, to the rooms, and room service was exceptional. All COVID precautions and protocols were followed; the baggage was disinfected, pens and keys at the Reception were sanitized and most of the staff were in face masks and face shields. The hotel boasts a variety of cuisines and the greatest surprise was being able to experience the best Awadhi food ever, outside of Lucknow. The rooms are clean and practical and the most fascinating part of the stay was being introduced to the history of Bhopal. The hotel has a great collection of photographs of times gone by. All in all a great stay! A big thank you to all the staff for making this stay a memorable"
,,,
"Hotel Fairmont, Jaipur",May-21,Neha C,The staff is very helpful and would go out of the way to make your experience great. Unfortunately I traveled during the COVID times so I couldn’t use the facilities! Next time perhaps. The bathrooms are a highlight of this property do enjoy enjoy a good long bath here!
"Hotel Fairmont, Jaipur",Apr-21,Nidhi,Amazing experience at Fairmont hotel Food was really delicious and amezing ambiance. Followed the all safety protocols.All staffs are very helpful. Special thanks to Ms Puja she is very kind and courteous
"Hotel Fairmont, Jaipur",Apr-21,Midha ,"Wonderful experience, few things are lacking like welcome, room amenities and departure gift I understood it's because of Covid-19 and cost of room also gone very low I never expect this much lower price, According to the amount which we are paid we are fully satisfied."
"Hotel Fairmont, Jaipur",Feb-21,Armira M,"In these Covid times of course we are extremely cautious and wanted to make sure there was no wedding at the property, before booking when we asked they explicitly lied & said no. We just happened to call literally 15 minutes before our deadline on cancellation to ask for extra beds and followed up by asking if the hotel was sold out & the receptionist answered by saying there was a wedding on all 3 days of our stay & 48 hours before claimed that she didn’t know which venues would be occupied & that it was a 50 person wedding which in reality was a 400 person wedding!! Terrible experience as there were multiple events happening throughout the hotel & we literally spent our stay in the lounge watching cricket & our kids watching their iPad. We were sent pictures of the children’s pool and that was honestly our biggest attraction, but when we checked-in, they said we couldn’t use it because of the wedding!"
,,,
Hyatt Regency Delhi,May-21,,"“Service and cleanliness and sanitisation 5/5. Front desk associate Aditya and manager Tenzing were helpful in assisting quick check-in. Food is excellent. Even though hotel is working little short on staff and has to increase the sanitisation process, they have kept all standards of safety, security and service as pre COVID times."
Hyatt Regency Delhi,Apr-21,,Hyatt Regency Delhi is all time favourite to me in terms of accommodation and dining. It is really a great relief to see the COVID precautions starting from Porch Cochere to the room cleaning. They are taking care of their guests and staff religiously and do not hesitate to instruct their guests in public area to maintain the social distancing and wear the mask. Kudos to the management for the well being of every one. Restaurants staff does take care of guests very efficiently. Unfortunately could not enjoy the pool as it was closed but enjoyed the authentic hospitality of Hyatt. All the very best to team Hyatt and look forward to visit you soon”
Hyatt Regency Delhi,Apr-21,Charbell A,"Excellent welcome, by Mr. Ajjuwal and his staff. Highly recommend. The reception and security at the entrance were very well trained due to all COVID restrictions. Everyone followed sensitively the rules required. The room we properly sanitized. The spa maintained a clean environment. Mask policy for everyone.”"
Hyatt Regency Delhi,Dec-20,Paramita Parida,I can say that Hyatt Regency and its staff are the best. Starting from my check in until my check out Mr.Ujjwal was really good to us. He has explained the precautions of Covid-19 that are to be taken very patiently. He made us felt like home and what else can be expected. Literally satisfied with our stay. Thank Mr.ujjwal. thank you Hyatt management
,,,
Novotel Delhi (Aerocity),May-21,,"This has been memorable stay at Novotel Aerocity hotel. Staff was very kind and caring. Everything was top class like rooms , food , common areas with strict corona guidelines. I recommend this place to all during Covid 19 period and also later :) My interaction with Druptee Kajle, Duty Manager was awesome where she explained nice things about hotel and how are they caring their customers during covid-19 days. I wish goodluck to her and hotel staff :)"
Novotel Delhi (Aerocity),Apr-21,,"I had a wonderful stay. The staff is very forthcoming, understanding, timely and accommodating. During the Lockdown, their Covid protocols are of the highest standards. Chef Varun & Anand went out of their way to ensure wide variety of cuisines were prepared as per requirement. Their health facilities like gym and steam room were well equipped & maintained (utilised when the rules allowed). Will definitely stay here again.”"
Novotel Delhi (Aerocity),Mar-21,,"Hats off to Tabish, super, quick and very cooperative. Food was awesome and location of hotel is perfect. Everyone in hotel followed COVID 19 protocols and proper sanitisation and social distancing was maintained by staff."
,,,
"Le Meredien, NCR",Apr-21,,"We visited India (Delhi and Bangalore) in April 2021. We stayed 2 weeks at Le Meridian, Delhi NCR for the Delhi segment. Although these were the worst of times in India due to the spiraling pandemic, we felt very safe and well looked after during the entire stay. The hotel staff diligently followed all the Covid safety guidelines and ensured safe distancing and mask wearing for all staff and public as appropriate. The restaurants were consolidated if needed due to small number of guests but the quality of food and service never suffered. Similarly the housekeeping, laundry and the front desk staff worked extra hard to ensure a stress free stay for us. Our regular housecleaning person (Dev), restaurant waiters (Nishakar and others), Chefs at the restaurants and front desk and sales staff (Mayank Singh, Rahul and others) deserve a special mention for making our stay comfortable. We will plan to stay here again on our next visit. Keep up the good work.”"
"Le Meredien, NCR",Mar-21,,Great experience with le meridien in this pandemic time they maintain proper hygiene and safety for the guest. Especially thanks to Samarth taking care so nicely and delicious food in the restaurant. Staff are so kind.
"Le Meredien, NCR",Jun-21,Gaurav A,we have stayed in Le Meridien gurgaon for our first visit after second wave of Covid-19 and the services are beyond expectation in term of staff and hygiene .The staff are wearing PPE kit all the time and the interaction upon check in with Anuj Tyagi was excellent who described all the policies and inclusion well in order .Anjali the guest relation is superb who accommodate all the request well on time.Vaibhav was also good and well mannered .Would love to come back again .
"Le Meredien, NCR",Jun-21,Isha,Very safe in these difficult times. Helping staff and great food. Rooms are very clean. Good ambience.Anjali is very good she help us to express check in though it was very crowded but still she managed
,,,
